"keyword","period","searchVolume"
"부침개","2021-09-01","790"
"부침개","2021-09-02","520"
"부침개","2021-09-03","460"
"부침개","2021-09-04","420"
"부침개","2021-09-05","520"
"부침개","2021-09-06","940"
"부침개","2021-09-07","1330"
"부침개","2021-09-08","480"
"부침개","2021-09-09","400"
"부침개","2021-09-10","450"
"부침개","2021-09-11","380"
"부침개","2021-09-12","470"
"부침개","2021-09-13","480"
"부침개","2021-09-14","530"
"부침개","2021-09-15","470"
"부침개","2021-09-16","560"
"부침개","2021-09-17","680"
"부침개","2021-09-18","740"
"부침개","2021-09-19","900"
"부침개","2021-09-20","1370"
"부침개","2021-09-21","660"
"부침개","2021-09-22","460"
"부침개","2021-09-23","370"
"부침개","2021-09-24","300"
"부침개","2021-09-25","340"
"부침개","2021-09-26","300"
"부침개","2021-09-27","360"
"부침개","2021-09-28","460"
"부침개","2021-09-29","1040"
"부침개","2021-09-30","340"
