"keyword","period","searchVolume"
"부침개","2024-09-01","340"
"부침개","2024-09-02","400"
"부침개","2024-09-03","370"
"부침개","2024-09-04","340"
"부침개","2024-09-05","460"
"부침개","2024-09-06","460"
"부침개","2024-09-07","390"
"부침개","2024-09-08","400"
"부침개","2024-09-09","430"
"부침개","2024-09-10","420"
"부침개","2024-09-11","560"
"부침개","2024-09-12","800"
"부침개","2024-09-13","640"
"부침개","2024-09-14","620"
"부침개","2024-09-15","710"
"부침개","2024-09-16","1030"
"부침개","2024-09-17","600"
"부침개","2024-09-18","430"
"부침개","2024-09-19","380"
"부침개","2024-09-20","930"
"부침개","2024-09-21","870"
"부침개","2024-09-22","470"
"부침개","2024-09-23","300"
"부침개","2024-09-24","260"
"부침개","2024-09-25","260"
"부침개","2024-09-26","320"
"부침개","2024-09-27","360"
"부침개","2024-09-28","370"
"부침개","2024-09-29","400"
"부침개","2024-09-30","360"
