"keyword","period","searchVolume"
"부침개","2022-09-01","510"
"부침개","2022-09-02","580"
"부침개","2022-09-03","610"
"부침개","2022-09-04","1210"
"부침개","2022-09-05","1930"
"부침개","2022-09-06","780"
"부침개","2022-09-07","570"
"부침개","2022-09-08","850"
"부침개","2022-09-09","1350"
"부침개","2022-09-10","600"
"부침개","2022-09-11","480"
"부침개","2022-09-12","460"
"부침개","2022-09-13","430"
"부침개","2022-09-14","330"
"부침개","2022-09-15","310"
"부침개","2022-09-16","350"
"부침개","2022-09-17","340"
"부침개","2022-09-18","330"
"부침개","2022-09-19","320"
"부침개","2022-09-20","300"
"부침개","2022-09-21","340"
"부침개","2022-09-22","270"
"부침개","2022-09-23","330"
"부침개","2022-09-24","280"
"부침개","2022-09-25","350"
"부침개","2022-09-26","300"
"부침개","2022-09-27","350"
"부침개","2022-09-28","360"
"부침개","2022-09-29","290"
"부침개","2022-09-30","340"
