"keyword","period","searchVolume"
"부침개","2024-07-01","400"
"부침개","2024-07-02","1900"
"부침개","2024-07-03","930"
"부침개","2024-07-04","460"
"부침개","2024-07-05","450"
"부침개","2024-07-06","550"
"부침개","2024-07-07","870"
"부침개","2024-07-08","1190"
"부침개","2024-07-09","840"
"부침개","2024-07-10","490"
"부침개","2024-07-11","380"
"부침개","2024-07-12","310"
"부침개","2024-07-13","320"
"부침개","2024-07-14","470"
"부침개","2024-07-15","300"
"부침개","2024-07-16","970"
"부침개","2024-07-17","910"
"부침개","2024-07-18","1250"
"부침개","2024-07-19","480"
"부침개","2024-07-20","590"
"부침개","2024-07-21","450"
"부침개","2024-07-22","500"
"부침개","2024-07-23","530"
"부침개","2024-07-24","370"
"부침개","2024-07-25","300"
"부침개","2024-07-26","330"
"부침개","2024-07-27","380"
"부침개","2024-07-28","340"
"부침개","2024-07-29","280"
"부침개","2024-07-30","320"
"부침개","2024-07-31","250"
