"keyword","period","searchVolume"
"부침개","2021-07-01","410"
"부침개","2021-07-02","450"
"부침개","2021-07-03","2020"
"부침개","2021-07-04","1270"
"부침개","2021-07-05","700"
"부침개","2021-07-06","750"
"부침개","2021-07-07","700"
"부침개","2021-07-08","530"
"부침개","2021-07-09","420"
"부침개","2021-07-10","510"
"부침개","2021-07-11","530"
"부침개","2021-07-12","340"
"부침개","2021-07-13","370"
"부침개","2021-07-14","380"
"부침개","2021-07-15","440"
"부침개","2021-07-16","430"
"부침개","2021-07-17","460"
"부침개","2021-07-18","480"
"부침개","2021-07-19","500"
"부침개","2021-07-20","320"
"부침개","2021-07-21","310"
"부침개","2021-07-22","320"
"부침개","2021-07-23","310"
"부침개","2021-07-24","320"
"부침개","2021-07-25","400"
"부침개","2021-07-26","310"
"부침개","2021-07-27","370"
"부침개","2021-07-28","370"
"부침개","2021-07-29","310"
"부침개","2021-07-30","360"
"부침개","2021-07-31","390"
